2020-03-30,BRA,,,,scraper failed,scraper failure,TypeError: Cannot read property 'text' of null,critical
2020-03-30,CAN,,,,scraper failed,scraper failure,Error: Timeseries does not contain a sample for SCRAPE_DATE 30-03-2020,critical
2020-03-30,CHE,,,,scraper failed,scraper failure,TypeError: Cannot read property 'AG' of undefined,critical
2020-03-30,AUS,New South Wales,,,scraper failed,scraper failure,DeprecatedError: NSW page seems to be broken,critical
2020-03-30,GBR,Scotland,,,scraper failed,scraper failure,Error: Invalid data: cases is not a number,critical
2020-03-30,USA,CA,Kern County,,scraper failed,scraper failure,"Error: Kern County, CA now uses a PNG and PDF",critical
2020-03-30,USA,CA,Los Angeles County,,scraper failed,scraper failure,Error: Invalid data: cases is not a number,critical
2020-03-30,USA,CA,Madera County,,scraper failed,scraper failure,TypeError: Cannot read property '1' of null,critical
2020-03-30,USA,CA,Marin County,,scraper failed,scraper failure,TypeError: Cannot read property '1' of null,critical
2020-03-30,USA,CA,Orange County,,scraper failed,scraper failure,Error: Need to scrape new page,critical
2020-03-30,USA,CA,Riverside County,,scraper failed,scraper failure,TypeError: Cannot read property '1' of null,critical
2020-03-30,USA,CA,San Benito County,,scraper failed,scraper failure,Error: Need to scrape new arcgis,critical
2020-03-30,USA,CA,San Bernardino County,,scraper failed,scraper failure,Error: Cannot parse undefined as number.,critical
2020-03-30,USA,CA,Santa Clara County,,scraper failed,scraper failure,TypeError: Cannot read property 'children' of undefined,critical
2020-03-30,USA,CA,Santa Cruz County,,scraper failed,scraper failure,Error: H2 not found,critical
2020-03-30,USA,CA,Solano County,,scraper failed,scraper failure,"Error: Solano County, CA now uses a PDF",critical
2020-03-30,USA,CA,Sonoma County,,scraper failed,scraper failure,"DeprecatedError: Sonoma switched to ArcGIS, which is handled by another scraper",critical
2020-03-30,USA,CT,,,scraper failed,scraper failure,Error: PDF parsing error. Likely no PDF available for 2020-03-30,critical
2020-03-30,USA,Guam,,,scraper failed,scraper failure,"DeprecatedError: Guam stopped offering totals on their website, but there's a sweet coloring book",critical
2020-03-30,USA,MA,,,scraper failed,scraper failure,Error: No data for 2020-03-30,critical
2020-03-30,USA,RI,,,scraper failed,scraper failure,Error: RI stopped reporting by county,critical
2020-03-30,USA,WA,,,scraper failed,scraper failure,TypeError: Cannot read property 'parent' of null,critical
2020-03-30,FRA,French Polynesia,,,missing location,locations,,low
2020-03-30,FRA,New Caledonia,,,missing location,locations,,low
2020-03-30,FRA,Reunion,,,missing location,locations,,low
2020-03-30,NLD,Aruba,,,missing location,locations,,low
2020-03-30,GBR,Channel Islands,,,missing location,locations,,low
2020-03-30,GBR,Turks and Caicos Islands,,,missing location,locations,,low
2020-03-30,MS Zaandam,,,,missing location,locations,,low
2020-03-30,CHE,,Zurich,,missing location,locations,,low
2020-03-30,IND,Ladakh,,,missing location,locations,,low
2020-03-30,IND,Telengana,,,missing location,locations,,low
2020-03-30,USA,AK,Anchorage,,missing location,locations,,low
2020-03-30,USA,AK,Fairbanks North Star Borough,,missing location,locations,,low
2020-03-30,USA,AK,Juneau City and Borough,,missing location,locations,,low
2020-03-30,USA,AK,Kenai Peninsula Borough,,missing location,locations,,low
2020-03-30,USA,AK,Ketchikan Gateway Borough,,missing location,locations,,low
2020-03-30,USA,AK,Matanuska-Susitna Borough,,missing location,locations,,low
2020-03-30,USA,DC,District of Columbia,,missing location,locations,,low
2020-03-30,USA,PR,,,missing location,locations,,low
2020-03-30,USA,AS,,,missing location,locations,,low
2020-03-30,USA,GU,,,missing location,locations,,low
2020-03-30,USA,MP,,,missing location,locations,,low
2020-03-30,USA,VI,,,missing location,locations,,low
2020-03-30,GBR,England,"Kingston upon Hull, City of",,missing location,locations,,low
2020-03-30,GBR,England,"Herefordshire, County of",,missing location,locations,,low
2020-03-30,GBR,England,"Bristol, City of",,missing location,locations,,low
2020-03-30,GBR,England,Cornwall and Isles of Scilly,,missing location,locations,,low
2020-03-30,GBR,England,"Bournemouth, Christchurch and Poole",,missing location,locations,,low
2020-03-30,GBR,England,St. Helens,,missing location,locations,,low
2020-03-30,GBR,England,Wirral,,missing location,locations,,low
2020-03-30,GBR,England,Hackney and City of London,,missing location,locations,,low
2020-03-30,USA,MD,Baltimore City,,missing location,locations,,low
2020-03-30,USA,MO,Joplin County,,missing location,locations,,low
2020-03-30,DNK,Greenland,,,missing population,population,,low
2020-03-30,FRA,French Guiana,,,missing population,population,,low
2020-03-30,FRA,French Polynesia,,,missing population,population,,low
2020-03-30,FRA,New Caledonia,,,missing population,population,,low
2020-03-30,FRA,Reunion,,,missing population,population,,low
2020-03-30,FRA,St Martin,,,missing population,population,,low
2020-03-30,NLD,Aruba,,,missing population,population,,low
2020-03-30,NLD,Curacao,,,missing population,population,,low
2020-03-30,NLD,Sint Maarten,,,missing population,population,,low
2020-03-30,GBR,Bermuda,,,missing population,population,,low
2020-03-30,GBR,Cayman Islands,,,missing population,population,,low
2020-03-30,GBR,Channel Islands,,,missing population,population,,low
2020-03-30,GBR,Isle of Man,,,missing population,population,,low
2020-03-30,GBR,Montserrat,,,missing population,population,,low
2020-03-30,GBR,Anguilla,,,missing population,population,,low
2020-03-30,GBR,British Virgin Islands,,,missing population,population,,low
2020-03-30,GBR,Turks and Caicos Islands,,,missing population,population,,low
2020-03-30,MS Zaandam,,,,missing population,population,,low
2020-03-30,CHE,,Zurich,,missing population,population,,low
2020-03-30,USA,AK,Anchorage,,missing population,population,,low
2020-03-30,USA,CA,(unassigned),,missing population,population,,low
2020-03-30,USA,CO,(unassigned),,missing population,population,,low
2020-03-30,USA,GU,(unassigned),,missing population,population,,low
2020-03-30,USA,HI,(unassigned),,missing population,population,,low
2020-03-30,USA,IL,(unassigned),,missing population,population,,low
2020-03-30,USA,KY,(unassigned),,missing population,population,,low
2020-03-30,USA,MA,(unassigned),,missing population,population,,low
2020-03-30,USA,MN,(unassigned),,missing population,population,,low
2020-03-30,USA,MS,(unassigned),,missing population,population,,low
2020-03-30,USA,MO,,Kansas City,missing population,population,,low
2020-03-30,USA,MO,,St. Louis city,missing population,population,,low
2020-03-30,USA,NV,(unassigned),,missing population,population,,low
2020-03-30,USA,NJ,(unassigned),,missing population,population,,low
2020-03-30,USA,MP,(unassigned),,missing population,population,,low
2020-03-30,USA,PR,(unassigned),,missing population,population,,low
2020-03-30,USA,RI,(unassigned),,missing population,population,,low
2020-03-30,USA,UT,(unassigned),,missing population,population,,low
2020-03-30,USA,VT,(unassigned),,missing population,population,,low
2020-03-30,USA,VI,(unassigned),,missing population,population,,low
2020-03-30,USA,VA,,Alexandria city,missing population,population,,low
2020-03-30,USA,VA,,Bristol city,missing population,population,,low
2020-03-30,USA,VA,,Charles City,missing population,population,,low
2020-03-30,USA,VA,,Charlottesville city,missing population,population,,low
2020-03-30,USA,VA,,Chesapeake city,missing population,population,,low
2020-03-30,USA,VA,,Danville city,missing population,population,,low
2020-03-30,USA,VA,,Fredericksburg city,missing population,population,,low
2020-03-30,USA,VA,,Galax city,missing population,population,,low
2020-03-30,USA,VA,,Hampton city,missing population,population,,low
2020-03-30,USA,VA,,Harrisonburg city,missing population,population,,low
2020-03-30,USA,VA,,Hopewell city,missing population,population,,low
2020-03-30,USA,VA,,James City,missing population,population,,low
2020-03-30,USA,VA,,Lynchburg city,missing population,population,,low
2020-03-30,USA,VA,,Manassas city,missing population,population,,low
2020-03-30,USA,VA,,Newport News city,missing population,population,,low
2020-03-30,USA,VA,,Norfolk city,missing population,population,,low
2020-03-30,USA,VA,,Poquoson city,missing population,population,,low
2020-03-30,USA,VA,,Portsmouth city,missing population,population,,low
2020-03-30,USA,VA,,Radford city,missing population,population,,low
2020-03-30,USA,VA,,Suffolk city,missing population,population,,low
2020-03-30,USA,VA,,Virginia Beach city,missing population,population,,low
2020-03-30,USA,VA,,Williamsburg city,missing population,population,,low
2020-03-30,USA,AS,,,missing population,population,,low
2020-03-30,USA,GU,,,missing population,population,,low
2020-03-30,USA,MP,,,missing population,population,,low
2020-03-30,USA,VI,,,missing population,population,,low
2020-03-30,GBR,England,Hartlepool,,missing population,population,,low
2020-03-30,GBR,England,Middlesbrough,,missing population,population,,low
2020-03-30,GBR,England,Redcar and Cleveland,,missing population,population,,low
2020-03-30,GBR,England,Stockton-on-Tees,,missing population,population,,low
2020-03-30,GBR,England,Darlington,,missing population,population,,low
2020-03-30,GBR,England,Halton,,missing population,population,,low
2020-03-30,GBR,England,Warrington,,missing population,population,,low
2020-03-30,GBR,England,Blackburn with Darwen,,missing population,population,,low
